# Collocations

# Corpus: nature_full
# Query:  word,[lc="nitrogen"|lemma_lc="nitrogen"] 14527

	Freq	T-score	MI	logDice	
Evidence	7	2.408	3.478	3.770	
avoid	7	2.437	3.665	3.794	
isotopomers	7	2.641	9.082	3.976	
related	7	1.370	1.053	3.097	
environment	7	1.528	1.242	3.181	
Excess	7	2.630	7.399	3.966	
contained	7	2.177	2.496	3.590	
main-chain	7	2.641	9.022	3.976	
coral	7	1.952	1.930	3.435	
sediment	7	1.697	1.479	3.277	
extra	7	2.557	4.890	3.898	
gentle	7	2.613	6.342	3.950	
conversion	7	2.259	2.775	3.652	
environmental	7	1.104	0.779	2.965	
value	7	1.575	1.305	3.207	
major	7	1.484	1.187	3.157	
significantly	7	1.385	1.069	3.104	
metabolite	7	2.476	3.959	3.827	
ecosystem	7	1.812	1.666	3.346	
But	7	2.115	2.316	3.546	
assimilate	7	2.625	6.986	3.961	
sensitive	7	2.268	2.808	3.658	
sufficient	7	2.299	2.931	3.682	
metrics	7	2.275	2.834	3.664	
experienced	7	2.540	4.648	3.883	
estimates	7	1.886	1.800	3.392	
]	7	1.051	0.731	2.941	
adsorbed	7	2.581	5.345	3.920	
Top	7	0.057	0.031	2.539	
understanding	7	1.911	1.848	3.408	
sinking	7	2.575	5.217	3.914	
investigated	7	2.274	2.831	3.663	
Thus	7	1.770	1.595	3.321	
repression	7	2.558	4.912	3.899	
transporters	7	2.441	3.689	3.797	
radicals	7	2.578	5.297	3.918	
take	7	2.357	3.193	3.728	
pressurized	7	2.635	7.936	3.971	
profiles	7	2.026	2.093	3.484	
20	7	0.168	0.095	2.579	
Fixed	7	2.637	8.194	3.972	
rather	6	1.772	1.853	3.257	
