# Collocations

# Corpus: nature_full
# Query:  word,[lc="carbon"|lemma_lc="carbon"] 38866

	Freq	T-score	MI	logDice	
50	38	4.039	1.536	4.457	
atomically	26	5.089	9.044	4.452	
nitrogen-doped	26	5.087	8.718	4.451	
-	101	1.822	0.289	4.451	
forms	29	4.758	3.102	4.451	
allochthonous	26	5.083	8.316	4.450	
oxidized	27	4.953	4.416	4.446	
Earth	35	4.200	1.786	4.444	
recalcitrant	26	5.043	6.499	4.440	
fluvial	26	5.033	6.265	4.437	
48	29	4.681	2.934	4.432	
market	26	5.006	5.777	4.430	
significant	37	3.935	1.502	4.420	
ozone	27	4.841	3.872	4.418	
This	59	2.745	0.638	4.418	
K.	48	3.225	0.904	4.414	
synthesis	32	4.254	2.011	4.400	
aerosols	26	4.871	4.483	4.397	
tetrachloride	25	4.996	10.147	4.397	
pricing	25	4.993	9.562	4.396	
monolithic	25	4.984	8.326	4.394	
markets	25	4.962	7.031	4.388	
costs	26	4.833	4.262	4.387	
thus	31	4.277	2.109	4.384	
As	35	3.919	1.567	4.384	
observed	43	3.315	1.016	4.378	
trends	28	4.541	2.817	4.373	
Gt	25	4.900	5.644	4.373	
across	33	4.037	1.750	4.372	
contain	28	4.536	2.809	4.372	
SOC	25	4.891	5.516	4.370	
W.	43	3.277	0.999	4.370	
modern	27	4.636	3.213	4.369	
control	40	3.450	1.138	4.365	
Oxygen	25	4.857	5.124	4.362	
sediment	30	4.251	2.159	4.356	
caused	28	4.464	2.677	4.355	
like	27	4.573	3.060	4.354	
*	172	-0.193	-0.021	4.350	
boreal	25	4.806	4.688	4.349	
products	29	4.318	2.335	4.347	
fractions	26	4.658	3.532	4.345	
13C	26	4.632	3.447	4.339	
vegetation	26	4.620	3.411	4.336	
sequestering	24	4.876	7.719	4.333	
forcing	27	4.483	2.866	4.333	
Anthropogenic	24	4.856	6.845	4.328	
Microbial	27	4.455	2.810	4.326	
Bacterial	26	4.551	3.219	4.320	
algal	25	4.679	3.960	4.319	
about	35	3.588	1.345	4.315	
provide	30	4.061	1.951	4.314	
modified	26	4.519	3.135	4.312	
regulation	28	4.250	2.344	4.307	
accounting	24	4.764	5.183	4.306	
consumed	24	4.726	4.827	4.297	
injection	25	4.582	3.580	4.296	
sensitivity	27	4.300	2.536	4.291	
patterns	30	3.894	1.790	4.278	
holey	23	4.791	10.026	4.276	
lower	32	3.669	1.509	4.275	
range	33	3.567	1.400	4.274	
supports	24	4.631	4.193	4.274	
terms	27	4.221	2.414	4.273	
produce	27	4.218	2.410	4.272	
role	33	3.544	1.384	4.270	
Porous	23	4.754	6.830	4.267	
skeletons	23	4.747	6.625	4.266	
some	35	3.320	1.188	4.262	
TiO2	24	4.569	3.892	4.259	
enhance	24	4.569	3.891	4.259	
fraction	27	4.136	2.293	4.254	
alternative	25	4.367	2.981	4.246	
main	26	4.220	2.536	4.244	
quantity	23	4.645	4.991	4.241	
accumulate	23	4.623	4.793	4.236	
partitioning	23	4.607	4.669	4.232	
tree	26	4.161	2.442	4.231	
massive	23	4.591	4.551	4.229	
they	35	3.143	1.093	4.228	
remains	25	4.238	2.715	4.217	
relative	32	3.339	1.287	4.209	
percentage	24	4.328	3.101	4.204	
bacterioplankton	23	4.473	3.892	4.201	
diversity	34	3.064	1.075	4.195	
riverine	22	4.614	5.933	4.195	
releases	22	4.610	5.864	4.194	
green	27	3.834	1.932	4.189	
catabolism	22	4.588	5.512	4.189	
Enhanced	22	4.584	5.460	4.188	
each	45	2.080	0.536	4.184	
biogenic	22	4.555	5.119	4.182	
contained	24	4.221	2.854	4.180	
``	28	3.660	1.697	4.180	
evolution	29	3.534	1.540	4.180	
pressure	25	4.051	2.397	4.176	
mineral	23	4.362	3.465	4.176	
gases	23	4.359	3.457	4.175	
Abstract	28	3.624	1.666	4.173	
''	28	3.609	1.653	4.170	
times	27	3.740	1.835	4.170	
synthesized	23	4.329	3.361	4.169	
globally	22	4.456	4.325	4.159	
solid	24	4.124	2.660	4.159	
relationship	25	3.925	2.217	4.149	
either	27	3.624	1.724	4.146	
